,date,volume,price
0,000019195,7.0,198575.0
1,000021505,12.0,198575.0
2,000021506,5.0,198575.0
3,000021507,1.0,198575.0
4,000021507,1.0,198575.0
5,000021507,1.0,198575.0
6,000024115,20.0,198550.0
7,000024450,3.0,198550.0
8,000029072,1.0,198575.0
9,000031530,10.0,198575.0
10,000045683,1.0,198575.0
11,000047090,2.0,198575.0
12,000047094,2.0,198575.0
